Ana maria
Eliška anna
Hoang yen
Hong van
Sofie anna
Thao my
Tuyet nhi
Anh duc
Bao nam
Cong thanh
Duc duy
Duc manh
Gia huy
Huu dat
Minh anh
Minh duc
Son hai
Van hung
Van thanh
Adrian **
Dylan **
Emily **
Jan **
Karel **
Marian **
Michael **
Michal **
Ngûjuk *
Nûno *
Pavla **
Raphael **
Saïdja *
Sara **
Snæ *
Snæfrost *
Vincent **
William **
Abbie
Abby
Abigael
Abigail
Abishag
Abíšag
Adela
Adéla
Adelaida
Adelaide
Adele
Adéle
Adelhaida
Adelheid
Adelheida
Adélia
Adelina
Adelína
Adeline
Adella
Adelle
Adina
Adleta
Adléta
Adolfa
Adolfina
Adolfína
Adriana
Adriána
Adriane
Adrianna
Adrianne
Adriena
Adrienna
Adrienne
Adrijana
Adva
Aelita
Afrodita
Afroditi
Agam
Agata
Agáta
Agatha
Agathe
Aglaia
Aglaja
Agnes
Ágnes
Agnesa
Agneša
Agneta
Agnieszka
Agustina
Aida
Aicha
Aila
Aileen
Ailin
Aimée
Aimy
Aisha
Aiša
Ája
Ajda
Ajgul
Ajla
Ajna
Ajša
Aksana
Ala
Alana
Albena
Alberta
Albertina
Albina
Albína
Alejandra
Aleksandra
Alena
Alenka
Alesia
Alesja
Alessandra
Alessa
Alessia
Aleša
Aleška
Alexandra
Alexia
Alfija
Alfreda
Alfréda
Alia
Alica
Alicia
Alicja
Aliki
Alina
Aline
Aliona
Alisa
Alisha
Alisia
Alissa
Alita
Aliya
Aliza
Aljona
Alla
Alma
Aloisia
Aloisie
Alojzia
Alona
Alvina
Alvína
Alžbeta
Alžběta
Amadea
Amaia
Amalia
Amália
Amalie
Amálie
Amalija
Amálka
Amaly
Amanda
Amani
Amara
Amáta
Amaya
Ambra
Amel
Amela
Ameli
Amelia
Amélia
Amelie
Amélie
Amely
Amina
Amína
Aminat
Amira
Amna
Amoria
Amra
Amy
Aňa
Anabel
Anabela
Anabell
Anabella
Anabelle
Anahit
Anais
Anam
Anastasia
Anastásie
Anastasija
Anastasiya
Anastazia
Anastázia
Anastazie
Anastázie
Anat
Anca
Andela
Anděla
Andělina
Andělína
Andělka
Andréa
Andriana
Andrijana
Androniki
Anela
Aneli
Anesa
Anet
Aneta
Anett
Anetta
Anette
Anežka
Angela
Angelica
Angelika
Angeliki
Angelina
Angelína
Angelique
Angie
Anhelina
Ani
Anica
Anička
Aniela
Anika
Anikó
Anina
Anisa
Anissa
Anita
Anitta
Anja
Anjali
Anka
Ann
Anna
Annabel
Annabela
Annabell
Annabella
Annabelle
Annabeth
Annaliesa
Annaliese
Annamaria
Annamária
Annamarie
Annastázie
Anne
Anneli
Annelie
Annelies
Anneliesa
Anneliese
Annemari
Annemarie
Anneta
Annetta
Annette
Anni
Annie
Annika
Annita
Anny
Anouk
Anselma
Antoaneta
Antoinette
Antonella
Antonia
Antónia
Antonina
Antonína
Antula
Anujin
Anuše
Anuška
Anya
Anžela
Anželika
Apolena
Apoléna
Apolonia
Apolónia
Apolonie
Arana
Aranka
Areti
Arevik
Aria
Ariadna
Ariadni
Ariana
Ariane
Arianna
Ariela
Arielle
Arin
Arina
Arlena
Arleta
Arletta
Arlette
Armina
Armine
Arna
Arnošta
Arnoštka
Arta
Arwa
Arwen
Asel
Asia
Asiya
Asja
Asma
Astrid
Astrida
Atanasia
Athena
